text,likes,comments,shares,Category
"If you decompress by playing with dogs or checking their adorable videos on social media, you might be onto something.

Interacting with dogs in such ways may strengthen people’s brain waves associated with rest and relaxation, as measured by brain tests, according to a recent study.

Read more: https://cnn.it/3PjcB0N",853,180,156,E
"During a solar eclipse, when the sky goes dark and the temperature drops, some animals respond in odd ways. Scientists want your help in researching the phenomenon.",292,238,52,E
"Model, actress and entrepreneur Christie Brinkley announced that she has been diagnosed with basal cell carcinoma, a common form of skin cancer.",716,252,50,F
"The US military has completed an additional review of the deadly Abbey Gate bombing, which killed 13 service members and dozens more Afghan civilians during the 2021 American withdrawal from Afghanistan, CNN has learned.",117,347,29,D
"Veteran golfer Bernhard Langer was due to play at The Masters for the final time this year, but a pickleball injury derailed his hopes of competing at next month's tournament.",135,50,20,B
"The death last month of an Oklahoma 10th grader the day after they told their family they were involved in a fight at school was determined to be a suicide, says an autopsy summary by the state medical examiner that was released.",469,597,76,D
Here’s something for serious stamp collectors only.,278,249,44,F
"US officials held indirect talks with Iranian officials in Oman in January amid rising tensions in the Middle East, according to a US official familiar with the matter.",151,248,20,D
"New Zealand authorities were able to remove the cockpit voice recorder and flight data recorder from the Boeing 787-9 that experienced a “technical event” on Monday’s LATAM Airlines Flight 800, a spokesman for New Zealand’s transport safety body told CNN on Wednesday.",209,86,27,E
Investigators probing the Boeing 737 Max blowout say their investigation is being held back by Boeing’s lack of a paper trail for key work.,255,174,47,E
"Summer Lucille, a content creator with over 1.4 million followers on her JuicyBodyGoddess TikTok account, is lobbying US Congress to vote against a bill that could possibly ban TikTok if it doesn't separate from its parent company, ByteDance. Lawmakers supporting the bill argue that TikTok is a national security threat to the United States. https://cnn.it/3Pmv8Jv",241,245,31,C
Don Lemon joins Erin exclusively to talk about his interview with Elon Musk and why it led to Musk canceling his deal with X. Watch live tonight at 7P on CNN and streaming on Max.,2979,2242,181,A
"Three men have been charged in federal court with illegal firearms trafficking and straw purchases of firearms in connection with the deadly shooting at the Super Bowl rally in Kansas City, officials said.",213,164,29,C
"Paul Alexander, who spent the vast majority of the past 70 years in an iron lung and defied expectations by becoming a lawyer and author, died Monday afternoon at the age of 78, according to his brother Philip Alexander. https://cnn.it/3Tixt9p",16529,1210,1617,F
"NFL star Aaron Rodgers, a potential Robert F. Kennedy Jr. VP pick, has in private shared false conspiracy theories about the 2012 Sandy Hook school shooting.",491,478,123,D
"Haiti’s embattled Prime Minister Ariel Henry says his country’s constitution states that only he and his cabinet can appoint a council for the transition of power, Henry’s office told CNN exclusively on Wednesday.",82,105,17,D
"A man who sent a bomb threat in 2021 to Katie Hobbs, then-Arizona's secretary of state and now Democratic governor, has been sentenced to three and a half years in prison.",721,284,29,D
"Hunter Biden, the son of President Joe Biden, will go on trial for gun-related charges on June 3, a federal judge ruled Wednesday.",332,821,41,D
"Adidas has been selling its remaining Yeezy stock since breaking off its high-profile partnership with designer Ye, the rapper formerly known as Kanye West, in 2022.",352,255,22,A
"Riley Strain, a 22-year-old University of Missouri student, was drinking with friends on downtown Nashville's bustling Broadway thoroughfare when he walked out of a bar and crossed a nearby street, police said. He hasn't been seen since.",1160,449,136,F
If you're a TikTok fanatic worried about how you're going to stay connected to the world after a bill that could ban the app passed the House of Representatives ... don't panic just yet.,132,281,32,C
"A rocket carrying a small satellite burst into flames just seconds after lift-off from western Japan on March 13, according to Japanese public broadcaster NHK. No injuries have been reported.",304,141,46,E
"After meeting at college in 2017, the duo have been on a near-seven-year mission to represent their country at the Olympic Games",179,84,13,B
"Ukraine launched overnight drone attacks on three Russian oil refineries, a Ukrainian defense source told CNN, as Kyiv intensifies its cross-border strikes days before Vladimir Putin's anticipated reelection as president.",652,411,36,D
"A jury has begun deliberations in the manslaughter trial of James Crumbley, the father of a teen who killed four students in a 2021 Michigan school shooting.",185,146,34,D
A powerful storm is poised to deliver nearly every weather hazard possible to the central US beginning today.,453,168,149,E
The Biden administration launched an initiative Wednesday that it describes as a nationwide call to increase training on and access to life-saving opioid overdose reversal medications,196,206,14,D
"Jack Nicklaus said players wanted to detonate a bomb under it, while Mark Calcavecchia compared it to a root canal appointment.",163,144,22,B
"“I was diagnosed with breast cancer. I hope by sharing this it will help others find comfort, inspiration and support on their own journey.”

Read more: https://cnn.it/3TAiKbm",2002,274,88,C
The sport is still reeling from the impact breakaway organization LIV Golf has had and the subsequent proposal of a partnership with the PGA Tour.,166,121,31,B
"Russian President Vladimir Putin has said that he is ready to work with any president Americans vote for, and that Moscow is not interfering with US elections.",474,562,61,D
"Palestinians told CNN the war has crushed hopes of observing a peaceful month of fasting, festivities and worship this year.",339,992,39,D
"The criticism was triggered by the death last month of Zong Qinghou, the founder one of Nongfu’s biggest competitors and a revered nationalist figure.",94,59,23,D
"Hunter Biden's attorney has informed House Oversight Chairman James Comer that the president's son will not accept the committee's invitation for him to appear at a public hearing, according to a letter obtained by CNN.",660,1024,63,D
"Families attending the experience became so angry that police were called. Now, some of the physical memorabilia that provided sparse decoration for the event is being auctioned for charity.",163,65,28,D
This weekly technique helps you keep your eye on the prize — adding what you really need to your cart — rather than getting distracted by the splashy items on supermarket endcaps.,195,141,34,F
"Five artists each have three nominations for country music’s first fan-voted award show. There are also 14 first-time nominees, according to CMT.",248,243,29,A
"Coleman's daughter wrote that he was able to carry both of his parents from the fire and save their lives, before attempting to rescue a dog, Hammer.",1372,221,99,F
"The bill passed by lawmakers would prohibit TikTok from US app stores unless the social media platform is spun off from its Chinese parent company, ByteDance. Follow updates.",522,650,223,C
The presiding judge in the Georgia criminal case against Donald Trump and his allies has thrown out some of the charges against the former president and several of his co-defendants.,573,913,60,D
"Buyers may or may not know that the superfood that ends up in bowls, smoothies, and supplements may have been picked by children — no one is checking.",1282,676,234,C
"Swatters, who call in bogus crime reports to lure heavily armed police to a target's home, have set their sights on election officials.",240,241,47,D
The first-of-its-kind law is poised to reshape how businesses and organizations in Europe use AI for everything from health care decisions to policing.,178,109,42,E
"Here are 5️⃣ things you need to know today:

1️⃣ Biden and Trump's rematch is set
2️⃣ US military aid for Ukraine
3️⃣ Alaska Air door plug blowout
4️⃣ Chicago measles outbreak
5️⃣ Grocery prices",230,638,83,D
"Australian billionaire Clive Palmer first launched plans for Titanic II in 2012, and again in 2018. Six years later, he’s done it again.",495,277,67,F
"“All the things that I believed in for all these years, 50 years of coaching, no longer exist in college athletics,” Saban said at a roundtable on Capitol Hill.",714,817,80,D
"Family Dollar will close 600 locations in the first half of 2024 and 370 stores over the next several years. Dollar Tree, which owns Family Dollar, also said it will close 30 stores as leases expire.",290,492,121,D
"Dozens of performers and speakers have canceled their appearances at the ongoing South by Southwest festival in Austin, Texas, in protest of event sponsorship from the US military and defense companies amid the war between Israel and Hamas.",261,316,25,D
"On Chinese social media site Weibo, Tiktok was ranked among the top trending topics on Wednesday, with the hashtag “Tiktok starts to fight back” drawing 80 million views.",220,242,33,E
"Florida education officials and a group of LGBTQ advocates and families reached a legal settlement that clarifies the scope of a statute referred to by critics as the “Don’t Say Gay” law, spelling out that students and teachers are allowed to discuss sexual orientation and gender identity in classrooms, as long as it is not part of formal instruction",285,482,31,C
"""Biden is portraying himself as committed to standing up for average Americans against powerful interests and the wealthy,"" writes Ronald Brownstein. ""But polls consistently show that significantly more Americans, including substantial numbers of Black and Hispanic voters, believe they personally benefited from Trump’s policies than Biden’s.""",417,928,23,D
"Hundreds of women in the United States die from complications related to pregnancy, childbirth and the time after giving birth each year, and the country’s high maternal death rate makes it an outlier among developed nations.",117,154,32,C
"""Not even presidents can reverse time, so there’s only so much Joe Biden can do to defuse one of his top general election liabilities – his advanced age,"" writes Stephen Collinson | Analysis",281,571,19,D
"The Republican National Committee, now under the control of former President Donald Trump and his campaign, is bringing on a slate of new lawyers both internally and externally who will focus intensely on election fraud, an issue Trump has remained fixated on.",584,761,41,D
A city in Japan is on high alert for a cat that fell into a tank of hazardous chemicals before disappearing into the night.,426,179,88,E
"Moscow is ready to use nuclear weapons if there is a threat to the existence of the Russian state but “there has never been such a need,” President Vladimir Putin said in an interview with state media published",520,608,85,D
Qatar Foreign Ministry spokesperson Majed Al Ansari said that he hopes a truce agreement will be reached between Israel and Hamas before the end of the Islamic holy month of Ramadan on April 9.,176,433,48,D
"Support for laws that protect LGBTQ people from discrimination slightly fell last year among adults in the United States, according to a Public Religion Research Institute report.",284,414,20,C
A group of passengers on board a LATAM Airlines flight that experienced a mid-air drop while traveling to New Zealand arrived in Chile on Tuesday.,182,119,35,B
"From the Da’Vine Randolph’s acceptance speeches to John Cena at the Oscars, here are the MVPs of the 2024 award show season.",353,352,26,A
"Zoë Kravitz had some beautiful, and sometimes biting, words for her “cool dad” Lenny Kravitz, as the rocker received a star on the Hollywood Walk of Fame.",782,140,41,A
"A man trying to swim to shore after his recreational sailboat capsized at Everglades National Park suffered an apparent bite from an American crocodile, according to a National Park Service news release.",193,115,16,B
Michelle Yeoh acknowledges she may have confused Emma Stone at the Oscars on Sunday.,358,141,28,A
"President Joe Biden and former President Donald Trump have earned enough delegates to win their parties' presidential nominations, CNN projects, and are headed for a November rematch.

Neither will officially become the nominee until the national conventions vote this summer.

Read more: https://cnn.it/3wQ62wr

📸: Evan Vucci/AP",2649,2229,420,D
"A flashy, jewelry-wearing Brooklyn pastor was convicted Monday in federal court of using a parishioner’s retirement savings and trying to extort a businessman while touting he had connections to the New York City mayor.",375,191,50,D
"Trump secures enough delegates for the Republican nomination for president, CNN projects, setting up a rematch with Biden in November. https://cnn.it/3wQ62wr",3696,2660,246,D
Production at Tesla’s factory near Berlin is gradually resuming after the plant was reconnected to the power grid late on Monday following a week-long closure caused by an arson attack.,106,39,15,E
"Independent presidential candidate Robert F. Kennedy Jr. has selected a vice presidential nominee and will announce his decision within the next two weeks, he told CNN on Tuesday.",459,319,36,D
"Dallas Cowboys quarterback Dak Prescott filed a lawsuit Monday in a Texas district court, alleging a woman is trying to extort $100 million from him.",212,142,27,D
TikTok – and some of its users – are pulling out all the stops to contest a bill that could lead to a nationwide ban of the app.,167,199,22,D
"A 12-year-old Palestinian boy was shot and killed by a border police officer in Shuafat refugee camp in occupied east Jerusalem, according to hospital officials and an Israeli police spokesperson.",482,765,55,D
"Police forcibly removed Greta Thunberg and other climate activists after trying to block the main entrances to the Swedish parliament during a second day of sit-down protests in Stockholm, Sweden.",583,380,68,D
"Alaska Airlines flight 1282 was scheduled to be taken out of service for maintenance the same day part of the plane blew off, the company says.",176,89,21,E
"This ain’t Texas, but it is country music and we may be about to witness one Queen paying tribute to another.",590,357,50,A
"NASA’s Europa Clipper, aiming to lift off for Jupiter’s icy moon in October, will carry names, poetry and other symbols of humanity’s search for life beyond Earth.",287,139,43,E
"A former Jacksonville Jaguars employee who pleaded guilty to financial crimes, including stealing more than $22 million from the NFL team, has been sentenced to 78 months in federal prison and ordered to repay much of the money.",160,116,22,D
Pricier burgers have become flame-broiled flashpoints as this bout of painfully high inflation enters Year 3.,166,349,25,D
"Biden officially clinches the Democratic nomination for president, CNN projects, allowing him to pivot focus on winning a second term. https://cnn.it/3IUd3PD",7099,3604,374,D
Polls are starting to close as Biden and Trump expect to win delegates needed to clinch their parties' nominations. Watch and follow live updates.,145,183,29,D
"A former longtime Boeing employee who had raised serious concerns about the company’s production standards was found dead in Charleston, South Carolina, over the weekend, according to the Charleston County Coroner’s Office.",386,249,84,D
"An American delegation on religious freedom cut short its visit to Saudi Arabia after one of its members was asked to remove his Jewish head covering, or kippah.",245,262,28,D
"Dozens of people were injured after a flight from Australia to New Zealand experienced a ""technical event"" that produced a sudden drop, according to the flight's operator. CNN's Erin Burnett speaks with Brian Jokat, a passenger aboard the plane. https://cnn.it/3wSuCN6",511,243,101,D
"Longtime LGBTQ+ activist David Mixner, who was a leader in the fight for social change and equality, has died, LGBTQ+ Victory Fund President and CEO Annise Parker announced.",430,334,64,D
A new report commissioned by the US State Department paints an alarming picture of the “catastrophic” national security risks posed by rapidly evolving artificial intelligence and warns time is running out for the federal government to avert disaster.,217,260,60,E
"The Players Championship is one of the main attractions of the golf calendar, but why has it acquired ""unofficial major"" status?",163,125,22,B
"Haiti's Prime Minister Ariel Henry announced his resignation following a meeting of regional Caribbean leaders, a move that acknowledges recent demands by the country's unleashed gangs and his unpopularity.",220,187,43,D
"Former special counsel Robert Hur appeared before Congress to explain his investigation into President Biden's handling of classified documents, which led to no charges against the president but plenty of consternation among Democrats.",301,1584,29,D
Experts say that the new report emphasizes the importance of timely ADHD diagnoses and adds important considerations for clinicians to discuss with patients who are deciding how to manage their ADHD.,223,193,48,E
"The unified tribute reverses an earlier decision to only have nine theaters honor Hinton Battle, which sparked a backlash from some in the theater community who felt his contribution to the stage had been overlooked.",231,46,31,D
"In a sharply worded decision, a judge ruled against Texas Attorney General Ken Paxton in his ongoing legal battle with an El Paso nonprofit that helps migrants.",385,276,39,C
"Colorado Rep. Ken Buck, who won't seek reelection, now says he'll leave before the end of his term in a blow to the GOP's already slim House majority.",1394,509,82,D
The Uvalde police chief abruptly announced his resignation days after a report cleared officers of wrongdoing during the 2022 Robb Elementary School massacre.,263,271,35,C
JUST IN: The United States announced a new military aid package for Ukraine worth up to $300 million after months of warning there was no money left.,890,962,87,D
"Unlike with weed, there are no age restrictions for buying delta-8 in most states where the product is legal.",104,118,29,E
"British pop singer Lily Allen has said that her children “complete” her, but having them “totally ruined” her career.",1012,1038,77,A
"James Crumbley, the father of the teenager who fatally shot four students at a Michigan high school in 2021, stored two firearms in his home in a gun case locked with the default combination “0-0-0,” a detective testified at his manslaughter trial.",245,437,46,D
"This ain't Texas, but it is country music and we may be about to witness one Queen paying tribute to another.",779,474,52,A
"Read an excerpt from Lyn Slater's book “How to Be Old,” and learn how her sense of style has influenced the fashion world.",746,287,88,A
"Dual US-Israeli citizen Itay Chen, who was believed to have been held hostage in Gaza, was killed on October 7 during the Hamas attacks on Israel, the Israeli military announced.",328,669,13,D
Christina Applegate and Jamie-Lynn Sigler are supporting each other and also looking to help others.,516,101,55,A
"Waking up in the middle of the night is common, but it could be a problem when you find yourself not going back to sleep right away.",188,117,38,F
The Supreme Court extended a temporary freeze on the enforcement of Texas' controversial immigration law that allows the state to arrest and detain people  suspected of entering the country illegally.,408,585,61,C
"Pro-Ukrainian groups of Russian fighters claimed to have launched cross-border attacks in two regions of Russia, hours after Kyiv fired a wave of drones at targets across the country.",450,228,39,D
"""The lack of detail from the palace is symptomatic of an institution which has struggled to find a balance between protecting the royals’ privacy, and providing the transparency demanded by a modern democracy,"" writes Rosa Prince | Opinion",156,142,34,D
"Multiple Taco Bell locations in Oakland have closed their dining rooms because of safety concerns in the California city, which has been struggling with rising crime affecting businesses both big and small.",252,387,33,D
"As far back as 2022, McGregor had expressed his support for people protesting against immigration.",123,161,9,D
"How to restart your fitness routine after Covid-19, RSV or influenza",203,201,30,E
Follow live updates as Special Counsel Robert Hur is set to testify in front of the GOP-run House Judiciary Committee about his investigation into President Biden's mishandling of classified documents.,315,1286,40,D
"A key measure of US inflation printed higher than expected last month, sending markets into a tizzy and adding to fears that the Federal Reserve may not lower interest rates at all this year",148,184,33,D
"A dual US-Israeli citizen, one of six still thought to have been held alive in Gaza, was killed in the October 7 Hamas attacks, IDF says",242,449,24,D
An American man has been sentenced to life in prison for the rape and murder of a tourist and the attempted murder of her friend – both US citizens from Illinois – in a gruesome attack near one of Germany’s most popular tourist sights.,229,163,34,D
"March 12 marks Equal Pay Day in the United States, a symbolic date representing the number of days women have to work into the current year just to make the same amount of money men made in the prior one.",287,265,56,C
"Mars may be around 140 million miles away from Earth, but the red planet is influencing our deep oceans by helping drive “giant whirlpools,” according to new research.",510,388,76,E
"Biden told investigators in classified documents probe he didn't know how his aides stored sensitive papers, a transcript of the interview shows",267,729,22,D
Stella Artois is drafting one of the world’s most recognizable personalities to help the lager return to its former glory: David Beckham.,209,59,13,A
"From children carrying stacks of bricks on their heads in dusty kilns, to youngsters breathing in dangerous dust in gold mines, Lisa Kristine has photographed child labor from South Asia to West Africa.",145,106,28,C
"Scores of recent TikTok and Instagram videos have documented the so-called tween invasion of Sephora and Ulta stores, with many grown-ups bemoaning the Gen Alpha takeover of these popular beauty products chains.",251,211,49,A
"The former mayor of Uvalde, Texas, said he is rejecting the findings of a report he commissioned to examine police actions during the 2022 massacre at Robb Elementary School – saying the examination didn’t answer the community’s questions and only left families more devastated.",218,183,28,C
"Here are 5️⃣ things you need to know today:

1️⃣ Super Tuesday II

2️⃣ Trump classified documents

3️⃣ Boeing safety issues

4️⃣ Unclassified US intelligence report on Netanyahu

5️⃣ House Republicans to vote on TikTok ban",127,411,20,D
"We’ve all seen those white streaks trailing behind jets, creating stripes against the blue sky.",739,1433,166,E
"Of the 14 systems tested by the agency, 11 earned a “poor” rating including Tesla’s Autopilot and so-called Full Self Driving systems.",224,101,32,E
Novak Djokovic was stunned by world No. 123 Luca Nardi in the third round of the BNP Paribas Open at Indian Wells as the Italian secured a remarkable win.,404,97,29,B
"""A new glimpse inside Donald Trump’s inner circle shows how the ex-president’s men and women often confront a fateful dilemma under huge personal pressure,"" writes Stephen Collinson | Analysis",426,714,63,D
"Controversial internet influencer Andrew Tate and his brother Tristan have been detained in Romania over UK sex offense charges, Romanian police said.",210,124,18,D
"A United Airlines flight was forced to return to Sydney just two hours into its nearly 14-hour journey to San Francisco, in the carrier’s fifth flight incident in seven days.",856,346,191,D
Devastation in Gaza as Israel wages war on Hamas | Follow live updates.,166,409,18,D
"The pilot of a terrifying flight from Australia to New Zealand told those on board he temporarily lost control of his Boeing 787 after one of its instruments failed, as authorities investigate what caused a sudden drop that threw travelers around the cabin, injuring dozens.",285,104,46,E
"The embattled prime minister of Haiti, Ariel Henry, has resigned after weeks of mounting chaos in the Caribbean nation, where gangs have been attacking government structures and social order is on the brink of collapse",212,164,52,D
"South Korea's most famous and beloved giant panda is set to bid South Korea a final farewell in April, with preparations now underway for her journey to her new home in China.",198,64,20,A
"A ship carrying humanitarian aid to Gaza has departed Cyprus, according to an NGO, which said it is the first maritime aid shipment to Gaza",296,238,40,C
The always-online generation may be starting to unplug a bit.,265,137,51,E
"If you want to find the most new union members, don’t go to a Starbucks or an Amazon warehouse. Head to college and university campuses.",125,95,24,D
Here are some inexpensive and safe ways to access emergency funds.,262,179,50,E
The edited image raises a thorny issue on the widespread use of digital editing tools and transparency.,150,121,26,E
"Oxford High School counselor testified “on the surface level” it appeared James Crumbley was showing the appropriate level of care for his then-15-year-old son, Ethan Crumbley.",145,97,34,D
"Mat sponsors are common at the UFC, so WWE is following its lead and, in return, hopes to catch up in cash.",223,153,26,B
"Salm Partners, the maker of Johnsonville sausages, recalled more than 35,000 pounds of turkey kielbasa sausage after consumers found pieces of rubber in the product, according to a USDA Food Safety and Inspection Service announcement.",132,61,72,C
"The Taycan Turbo GT, coming to market this summer, has already set two race track speed records for an electric car. It even beat one set by a Tesla Model S by a gigantic 18 seconds.",309,164,49,E
A team of experts from the US Centers for Disease Control and Prevention is expected to arrive in Chicago on Tuesday to help local public health officials manage a measles outbreak there.,188,247,45,E
"Corporate America has enjoyed healthy profit margins in recent years, even as many people have had to make sacrifices to cope with the surge in prices.",289,359,50,D
"Eric Carmen, the former lead vocalist of The Raspberries and singer of “All By Myself,” has died, according to his website. He was 74. https://cnn.it/3TbzNzi",6392,514,1129,A
"House Republicans are pressing ahead with a Wednesday floor vote on legislation that would ban TikTok in the United States unless it part ways with its Chinese parent company, even as former President Donald Trump has signaled some uneasiness over the legislation.",272,345,29,C
"A study found that France alone consumes more than 3,000 tons of frozen frogs’ legs a year.",165,65,16,E
"The United States will contribute $300 million to the Kenyan-led multinational security mission to Haiti, Secretary of State Antony Blinken said Monday, as the situation on the ground continues to deteriorate.",335,361,55,D
"Brian Butler, a former Mar-a-Lago worker referenced as “Trump Employee Number 5” in the classified documents indictment of Donald Trump, spoke exclusively with CNN on Monday about what he saw at the former president’s private club and the subsequent fallout after a search there by federal investigators.",399,428,61,D
"Retroreflectors are used in road signs and running clothes. Cats’ eyes have similar, naturally occurring retroreflectors, which is why they appear to glow when you shine a light on them.",164,72,13,E
